date,leads_actual,leads_forecast,Nameplate
2019-08-03,416.0,,Cat1
2019-09-03,446.0,,Cat1
2019-10-03,340.0,,Cat1
2019-11-03,410.0,,Cat1
2019-12-03,446.0,,Cat1
2019-03-13,418.0,,Cat1
2019-03-14,392.0,,Cat1
2019-03-15,493.0,,Cat1
2019-03-16,402.0,,Cat1
2019-03-17,375.0,,Cat1
2019-03-18,438.0,,Cat1
2019-03-19,397.0,,Cat1
2019-03-20,454.0,,Cat1
2019-03-21,430.0,,Cat1
2019-03-22,442.0,,Cat1
2019-03-23,406.0,,Cat1
2019-03-24,367.0,,Cat1
2019-03-25,445.0,,Cat1
2019-03-26,488.0,,Cat1
2019-03-27,484.0,,Cat1
2019-03-28,444.0,,Cat1
2019-03-29,454.0,,Cat1
2019-03-30,438.0,,Cat1
2019-03-31,416.0,,Cat1
2019-01-04,454.0,,Cat1
2019-02-04,433.0,,Cat1
2019-03-04,455.0,,Cat1
2019-04-04,447.0,,Cat1
2019-05-04,433.0,,Cat1
2019-06-04,438.0,,Cat1
2019-07-04,483.0,,Cat1
2019-08-04,470.0,,Cat1
2019-09-04,491.0,,Cat1
2019-10-04,486.0,,Cat1
2019-11-04,431.0,,Cat1
2019-12-04,471.0,,Cat1
2019-04-13,448.0,,Cat1
2019-04-14,455.0,,Cat1
2019-04-15,488.0,,Cat1
2019-04-16,482.0,,Cat1
2019-04-17,460.0,,Cat1
2019-04-18,455.0,,Cat1
2019-04-19,454.0,,Cat1
2019-04-20,506.0,,Cat1
2019-04-21,400.0,,Cat1
2019-04-22,471.0,,Cat1
2019-04-23,512.0,,Cat1
2019-04-24,506.0,,Cat1
2019-04-25,461.0,,Cat1
2019-04-26,500.0,,Cat1
2019-04-27,463.0,,Cat1
2019-04-28,425.0,,Cat1
2019-04-29,447.0,,Cat1
2019-04-30,535.0,,Cat1
2019-01-05,409.0,,Cat1
2019-02-05,469.0,,Cat1
2019-03-05,449.0,,Cat1
2019-04-05,443.0,,Cat1
2019-05-05,406.0,,Cat1
2019-06-05,452.0,,Cat1
2019-07-05,454.0,,Cat1
2019-08-05,459.0,,Cat1
