date,testdrive_actual,testdrive_forecast,Nameplate
2019-10-11,4847.0,,Cat1
2019-11-11,4797.0,,Cat1
2019-12-11,4395.0,,Cat1
2019-11-13,4281.0,,Cat1
2019-11-14,4724.0,,Cat1
2019-11-15,4606.0,,Cat1
2019-11-16,4561.0,,Cat1
2019-11-17,4608.0,,Cat1
2019-11-18,4861.0,,Cat1
2019-11-19,4903.0,,Cat1
2019-11-20,6158.0,,Cat1
2019-11-21,5895.0,,Cat1
2019-11-22,5221.0,,Cat1
2019-11-23,4737.0,,Cat1
2019-11-24,4646.0,,Cat1
2019-11-25,4662.0,,Cat1
2019-11-26,4500.0,,Cat1
2019-11-27,4225.0,,Cat1
2019-11-28,4001.0,,Cat1
2019-11-29,3920.0,,Cat1
2019-11-30,4045.0,,Cat1
2019-01-12,4016.0,,Cat1
2019-02-12,4417.0,,Cat1
2019-03-12,4460.0,,Cat1
2019-04-12,4468.0,,Cat1
2019-05-12,4710.0,,Cat1
2019-06-12,4648.0,,Cat1
2019-07-12,4669.0,,Cat1
2019-08-12,4455.0,,Cat1
2019-09-12,4838.0,,Cat1
2019-10-12,4972.0,,Cat1
2019-11-12,4680.0,,Cat1
2019-12-12,4728.0,,Cat1
2019-12-13,4765.0,,Cat1
2019-12-14,4437.0,,Cat1
2019-12-15,4478.0,,Cat1
2019-12-16,4582.0,,Cat1
2019-12-17,4634.0,,Cat1
2019-12-18,4487.0,,Cat1
2019-12-19,4398.0,,Cat1
2019-12-20,4366.0,,Cat1
2019-12-21,4195.0,,Cat1
2019-12-22,4428.0,,Cat1
2019-12-23,4448.0,,Cat1
2019-12-24,4357.0,,Cat1
2019-12-25,4254.0,,Cat1
2019-12-26,4575.0,,Cat1
2019-12-27,4746.0,,Cat1
2019-12-28,4770.0,,Cat1
2019-12-29,4766.0,,Cat1
2019-12-30,4603.0,,Cat1
2019-12-31,4409.0,,Cat1
2020-01-01,3457.0,,Cat1
2020-02-01,4914.0,,Cat1
2020-03-01,4992.0,,Cat1
2020-04-01,5121.0,,Cat1
2020-05-01,4886.0,,Cat1
2020-06-01,4924.0,,Cat1
2020-01-13,5505.0,,Cat1
2020-01-14,5605.0,,Cat1
2020-01-15,5358.0,,Cat1
2020-01-16,5645.0,,Cat1
2020-01-17,5259.0,,Cat1
2020-01-18,5246.0,,Cat1
2020-01-19,5097.0,,Cat1
2020-01-20,5052.0,,Cat1
2020-01-21,5278.0,,Cat1
2020-01-22,5246.0,,Cat1
2020-01-23,5375.0,,Cat1
2020-01-24,5195.0,,Cat1
2020-01-25,5045.0,,Cat1
2020-01-26,4833.0,,Cat1
2020-01-27,4823.0,,Cat1
2020-01-28,5058.0,,Cat1
2020-01-29,5304.0,,Cat1
2020-01-30,5242.0,,Cat1
2020-01-31,5200.0,,Cat1
2020-01-02,5060.0,,Cat1
2020-02-02,5007.0,,Cat1
2020-03-02,5101.0,,Cat1
2020-04-02,5215.0,,Cat1
2020-05-02,5227.0,,Cat1
2020-06-02,5083.0,,Cat1
2020-02-13,5322.0,,Cat1
2020-02-14,4766.0,,Cat1
2020-02-15,5207.0,,Cat1
2020-02-16,5679.0,,Cat1
2020-02-17,5443.0,,Cat1
2020-02-18,5665.0,,Cat1
2020-02-19,5728.0,,Cat1
2020-02-20,5777.0,,Cat1
2020-02-21,5305.0,,Cat1
2020-02-22,5238.0,,Cat1
2020-02-23,5925.0,,Cat1
