date,Category,visits,testdrive,leads,total_spend_nobrand_nodig,total_spend_nobrand
06/02/18,Cat11,32083,12500,962,11538.39286,171778.1866
07/02/18,Cat1,10736,3666,451,31039.28571,89691.67264
07/02/18,Cat2,6888,2592,416,51006.7619,129339.7257
07/02/18,Cat3,8186,2109,473,238248.1305,383558.8197
07/02/18,Cat4,5327,1722,333,77922.08095,152086.8247
07/02/18,Cat5,13302,4599,617,173689.8821,280900.6555
07/02/18,Cat6,819,290,4,0,3870.728343
07/02/18,Cat7,6840,3126,377,34564.48281,94597.9526
07/02/18,Cat8,15623,6037,732,528750.2953,885385.5308
07/02/18,Cat9,1087,332,43,0,20262.27096
07/02/18,Cat10,498,122,14,0,0
07/02/18,Cat11,26649,11399,1003,11538.39286,171778.1866
08/02/18,Cat1,10287,3331,414,31039.28571,89691.67264
08/02/18,Cat2,6536,2460,415,51006.7619,129339.7257
08/02/18,Cat3,7872,1917,387,238248.1305,383558.8197
08/02/18,Cat4,5100,1649,303,77922.08095,152086.8247
08/02/18,Cat5,13043,4637,595,173689.8821,280900.6555
08/02/18,Cat6,797,292,6,0,3870.728343
08/02/18,Cat7,6501,2847,341,34564.48281,94597.9526
08/02/18,Cat8,14228,5579,638,528750.2953,885385.5308
08/02/18,Cat9,1049,298,34,0,20262.27096
08/02/18,Cat10,510,98,14,0,0
08/02/18,Cat11,24757,10651,969,11538.39286,171778.1866
09/02/18,Cat1,10201,3309,419,31039.28571,89691.67264
09/02/18,Cat2,6850,2549,458,51006.7619,129339.7257
09/02/18,Cat3,7692,2069,434,238248.1305,383558.8197
09/02/18,Cat4,5463,1875,375,77922.08095,152086.8247
09/02/18,Cat5,13176,4468,635,173689.8821,280900.6555
09/02/18,Cat6,795,303,7,0,3870.728343
09/02/18,Cat7,6424,2907,394,34564.48281,94597.9526
09/02/18,Cat8,15000,6270,639,528750.2953,885385.5308
09/02/18,Cat9,979,270,50,0,20262.27096
09/02/18,Cat10,517,124,16,0,0
09/02/18,Cat11,23909,10436,1034,11538.39286,171778.1866
10/02/18,Cat1,9861,3415,420,31039.28571,89691.67264
10/02/18,Cat2,6827,2584,404,51006.7619,129339.7257
10/02/18,Cat3,9615,2440,439,238248.1305,383558.8197
10/02/18,Cat4,6338,2123,315,77922.08095,152086.8247
10/02/18,Cat5,15489,5510,649,173689.8821,280900.6555
10/02/18,Cat6,721,318,11,0,3870.728343
10/02/18,Cat7,6734,3382,433,34564.48281,94597.9526
10/02/18,Cat8,15064,6234,737,528750.2953,885385.5308
10/02/18,Cat9,887,278,30,0,20262.27096
10/02/18,Cat10,448,131,17,0,0
10/02/18,Cat11,26347,12103,1022,11538.39286,171778.1866
11/02/18,Cat1,10048,3598,417,31039.28571,89691.67264
11/02/18,Cat2,6943,2797,396,51006.7619,129339.7257
11/02/18,Cat3,9225,2413,373,238248.1305,383558.8197
11/02/18,Cat4,6299,2136,352,77922.08095,152086.8247
11/02/18,Cat5,15134,5643,523,173689.8821,280900.6555
11/02/18,Cat6,711,291,7,0,3870.728343
11/02/18,Cat7,6845,3379,422,34564.48281,94597.9526
11/02/18,Cat8,14366,6196,696,528750.2953,885385.5308
11/02/18,Cat9,897,314,45,0,20262.27096
11/02/18,Cat10,461,149,14,0,0
11/02/18,Cat11,26402,12220,997,11538.39286,171778.1866
12/02/18,Cat1,10161,3299,406,91553.92857,148433.4066
12/02/18,Cat2,6848,2558,447,53389.11905,129949.1739
12/02/18,Cat3,8214,2196,536,352694.6019,492267.2299
12/02/18,Cat4,5783,1948,378,67501.19524,147283.0819
12/02/18,Cat5,13829,4919,662,225120.325,333973.9555
12/02/18,Cat6,740,246,0,0,3870.728343
12/02/18,Cat7,6636,3018,418,71854.95424,131888.424
12/02/18,Cat8,13595,5592,768,745469.5167,1025837.069
12/02/18,Cat9,1059,279,47,0,20262.27096
12/02/18,Cat10,469,119,8,0,0
12/02/18,Cat11,23017,10024,1008,16529.70714,142179.1558
13/02/18,Cat1,10446,3396,414,91553.92857,148433.4066
13/02/18,Cat2,6880,2597,417,53389.11905,129949.1739
13/02/18,Cat3,7091,1863,454,352694.6019,492267.2299
